biosample_class	sample	experiment	doc_count
tissue	forelimb	scRNA-seq	1046
tissue	forelimb	long read RNA-seq	2
tissue	liver	Histone ChIP-seq	91
tissue	liver	TF ChIP-seq	42
tissue	liver	polyA plus RNA-seq	20
tissue	liver	DNase-seq	9
tissue	liver	WGBS	9
tissue	liver	ATAC-seq	7
tissue	liver	microRNA counts	7
tissue	liver	microRNA-seq	7
tissue	liver	total RNA-seq	3
tissue	liver	RAMPAGE	2
tissue	liver	DNAme array	1
tissue	liver	RRBS	1
tissue	liver	small RNA-seq	1
tissue	stomach	Histone ChIP-seq	72
tissue	stomach	DNase-seq	22
tissue	stomach	TF ChIP-seq	17
tissue	stomach	polyA plus RNA-seq	15
tissue	stomach	WGBS	10
tissue	stomach	ATAC-seq	6
tissue	stomach	RAMPAGE	5
tissue	stomach	total RNA-seq	5
tissue	stomach	microRNA counts	4
tissue	stomach	microRNA-seq	4
tissue	stomach	small RNA-seq	4
tissue	stomach	DNAme array	3
tissue	stomach	RRBS	1
tissue	heart	Histone ChIP-seq	79
tissue	heart	DNase-seq	25
tissue	heart	polyA plus RNA-seq	16
tissue	heart	WGBS	10
tissue	heart	microRNA-seq	9
tissue	heart	microRNA counts	8
tissue	heart	ATAC-seq	7
tissue	heart	TF ChIP-seq	5
tissue	heart	total RNA-seq	3
tissue	heart	RAMPAGE	2
tissue	heart	small RNA-seq	1
tissue	middle frontal area 46	Histone ChIP-seq	103
tissue	middle frontal area 46	DNase-seq	54
tissue	adrenal gland	Histone ChIP-seq	38
tissue	adrenal gland	DNase-seq	24
tissue	adrenal gland	total RNA-seq	20
tissue	adrenal gland	polyA plus RNA-seq	11
tissue	adrenal gland	ATAC-seq	8
tissue	adrenal gland	microRNA-seq	8
tissue	adrenal gland	TF ChIP-seq	7
tissue	adrenal gland	DNAme array	5
tissue	adrenal gland	WGBS	5
tissue	adrenal gland	RAMPAGE	4
tissue	adrenal gland	long read RNA-seq	4
tissue	adrenal gland	eCLIP	2
tissue	adrenal gland	microRNA counts	2
tissue	adrenal gland	small RNA-seq	2
tissue	adrenal gland	RRBS	1
tissue	spleen	Histone ChIP-seq	64
tissue	spleen	TF ChIP-seq	19
tissue	spleen	polyA plus RNA-seq	11
tissue	spleen	total RNA-seq	8
tissue	spleen	DNase-seq	7
tissue	spleen	WGBS	6
tissue	spleen	DNAme array	4
tissue	spleen	RAMPAGE	4
tissue	spleen	small RNA-seq	4
tissue	spleen	microRNA-seq	3
tissue	spleen	ATAC-seq	1
tissue	spleen	microRNA counts	1
tissue	lung	Histone ChIP-seq	58
tissue	lung	DNase-seq	20
tissue	lung	polyA plus RNA-seq	11
tissue	lung	WGBS	7
tissue	lung	TF ChIP-seq	6
tissue	lung	ATAC-seq	5
tissue	lung	microRNA counts	4
tissue	lung	microRNA-seq	4
tissue	lung	DNAme array	2
tissue	lung	total RNA-seq	2
tissue	lung	RAMPAGE	1
tissue	lung	RRBS	1
tissue	lung	small RNA-seq	1
tissue	kidney	Histone ChIP-seq	55
tissue	kidney	DNase-seq	24
tissue	kidney	polyA plus RNA-seq	13
tissue	kidney	WGBS	5
tissue	kidney	microRNA-seq	5
tissue	kidney	ATAC-seq	4
tissue	kidney	TF ChIP-seq	4
tissue	kidney	microRNA counts	4
tissue	kidney	DNAme array	2
tissue	kidney	FAIRE-seq	1
tissue	kidney	RRBS	1
tissue	kidney	long read RNA-seq	1
tissue	kidney	total RNA-seq	1
tissue	forebrain	Histone ChIP-seq	62
tissue	forebrain	microRNA-seq	9
tissue	forebrain	WGBS	8
tissue	forebrain	microRNA counts	8
tissue	forebrain	polyA plus RNA-seq	8
tissue	forebrain	snATAC-seq	8
tissue	forebrain	ATAC-seq	7
tissue	forebrain	DNase-seq	4
tissue	forebrain	TF ChIP-seq	1
tissue	forebrain	total RNA-seq	1
tissue	midbrain	Histone ChIP-seq	62
tissue	midbrain	WGBS	8
tissue	midbrain	microRNA counts	8
tissue	midbrain	microRNA-seq	8
tissue	midbrain	polyA plus RNA-seq	8
tissue	midbrain	ATAC-seq	7
tissue	midbrain	DNase-seq	5
tissue	midbrain	TF ChIP-seq	1
tissue	midbrain	total RNA-seq	1
tissue	hindbrain	Histone ChIP-seq	62
tissue	hindbrain	WGBS	8
tissue	hindbrain	microRNA counts	8
tissue	hindbrain	polyA plus RNA-seq	8
tissue	hindbrain	ATAC-seq	7
tissue	hindbrain	microRNA-seq	7
tissue	hindbrain	DNase-seq	4
tissue	hindbrain	TF ChIP-seq	1
tissue	hindbrain	total RNA-seq	1
tissue	heart left ventricle	Histone ChIP-seq	37
tissue	heart left ventricle	DNase-seq	10
tissue	heart left ventricle	TF ChIP-seq	9
tissue	heart left ventricle	ATAC-seq	7
tissue	heart left ventricle	microRNA-seq	5
tissue	heart left ventricle	total RNA-seq	5
tissue	heart left ventricle	WGBS	4
tissue	heart left ventricle	long read RNA-seq	4
tissue	heart left ventricle	DNAme array	3
tissue	heart left ventricle	RAMPAGE	2
tissue	heart left ventricle	microRNA counts	2
tissue	heart left ventricle	polyA plus RNA-seq	2
tissue	heart left ventricle	RRBS	1
tissue	head of caudate nucleus	DNase-seq	84
tissue	limb	Histone ChIP-seq	46
tissue	limb	polyA plus RNA-seq	8
tissue	limb	WGBS	6
tissue	limb	microRNA counts	6
tissue	limb	microRNA-seq	6
tissue	limb	ATAC-seq	5
tissue	limb	DNase-seq	5
tissue	limb	TF ChIP-seq	1
tissue	sigmoid colon	Histone ChIP-seq	35
tissue	sigmoid colon	TF ChIP-seq	16
tissue	sigmoid colon	polyA plus RNA-seq	5
tissue	sigmoid colon	ATAC-seq	4
tissue	sigmoid colon	DNAme array	4
tissue	sigmoid colon	RAMPAGE	4
tissue	sigmoid colon	small RNA-seq	4
tissue	sigmoid colon	total RNA-seq	4
tissue	sigmoid colon	DNase-seq	3
tissue	sigmoid colon	WGBS	2
tissue	transverse colon	Histone ChIP-seq	21
tissue	transverse colon	TF ChIP-seq	16
tissue	transverse colon	WGS	10
tissue	transverse colon	ATAC-seq	4
tissue	transverse colon	DNAme array	4
tissue	transverse colon	DNase-seq	4
tissue	transverse colon	Hi-C	4
tissue	transverse colon	RAMPAGE	4
tissue	transverse colon	genotyping array	4
tissue	transverse colon	small RNA-seq	4
tissue	transverse colon	total RNA-seq	4
tissue	transverse colon	WGBS	2
tissue	embryonic facial prominence	Histone ChIP-seq	46
tissue	embryonic facial prominence	WGBS	6
tissue	embryonic facial prominence	microRNA counts	6
tissue	embryonic facial prominence	microRNA-seq	6
tissue	embryonic facial prominence	polyA plus RNA-seq	6
tissue	embryonic facial prominence	ATAC-seq	5
tissue	embryonic facial prominence	DNase-seq	4
tissue	neural tube	Histone ChIP-seq	40
tissue	neural tube	microRNA counts	6
tissue	neural tube	microRNA-seq	6
tissue	neural tube	polyA plus RNA-seq	6
tissue	neural tube	ATAC-seq	5
tissue	neural tube	WGBS	5
tissue	neural tube	DNase-seq	2
tissue	upper lobe of left lung	Histone ChIP-seq	24
tissue	upper lobe of left lung	TF ChIP-seq	17
tissue	upper lobe of left lung	DNase-seq	7
tissue	upper lobe of left lung	total RNA-seq	6
tissue	upper lobe of left lung	DNAme array	4
tissue	upper lobe of left lung	RAMPAGE	4
tissue	upper lobe of left lung	small RNA-seq	4
tissue	upper lobe of left lung	WGBS	2
tissue	pancreas	Histone ChIP-seq	34
tissue	pancreas	DNase-seq	8
tissue	pancreas	ATAC-seq	5
tissue	pancreas	total RNA-seq	5
tissue	pancreas	TF ChIP-seq	4
tissue	pancreas	polyA plus RNA-seq	4
tissue	pancreas	WGBS	2
tissue	pancreas	microRNA-seq	2
tissue	pancreas	DNAme array	1
tissue	pancreas	FAIRE-seq	1
tissue	pancreas	RRBS	1
tissue	ovary	Histone ChIP-seq	10
tissue	ovary	DNase-seq	9
tissue	ovary	polyA plus RNA-seq	9
tissue	ovary	total RNA-seq	8
tissue	ovary	TF ChIP-seq	5
tissue	ovary	ATAC-seq	4
tissue	ovary	microRNA-seq	4
tissue	ovary	CAGE	3
tissue	ovary	WGBS	3
tissue	ovary	long read RNA-seq	3
tissue	ovary	DNAme array	2
tissue	ovary	RAMPAGE	2
tissue	ovary	PAS-seq	1
tissue	ovary	microRNA counts	1
tissue	ovary	small RNA-seq	1
tissue	placenta	DNase-seq	22
tissue	placenta	Histone ChIP-seq	21
tissue	placenta	total RNA-seq	11
tissue	placenta	microRNA-seq	3
tissue	placenta	polyA plus RNA-seq	3
tissue	placenta	DNAme array	1
tissue	placenta	RRBS	1
tissue	placenta	WGBS	1
tissue	thyroid gland	Histone ChIP-seq	23
tissue	thyroid gland	TF ChIP-seq	9
tissue	thyroid gland	RAMPAGE	5
tissue	thyroid gland	total RNA-seq	5
tissue	thyroid gland	DNAme array	4
tissue	thyroid gland	DNase-seq	4
tissue	thyroid gland	ATAC-seq	3
tissue	thyroid gland	WGBS	2
tissue	thyroid gland	microRNA counts	2
tissue	thyroid gland	microRNA-seq	2
tissue	thyroid gland	small RNA-seq	2
tissue	small intestine	Histone ChIP-seq	24
tissue	small intestine	DNase-seq	13
tissue	small intestine	polyA plus RNA-seq	13
tissue	small intestine	WGBS	5
tissue	small intestine	TF ChIP-seq	2
tissue	small intestine	DNAme array	1
tissue	small intestine	FAIRE-seq	1
tissue	small intestine	genotyping array	1
tissue	gastrocnemius medialis	Histone ChIP-seq	24
tissue	gastrocnemius medialis	TF ChIP-seq	7
tissue	gastrocnemius medialis	DNase-seq	6
tissue	gastrocnemius medialis	ATAC-seq	4
tissue	gastrocnemius medialis	Hi-C	4
tissue	gastrocnemius medialis	total RNA-seq	4
tissue	gastrocnemius medialis	DNAme array	3
tissue	gastrocnemius medialis	RAMPAGE	3
tissue	gastrocnemius medialis	microRNA counts	2
tissue	gastrocnemius medialis	microRNA-seq	2
tissue	body of pancreas	Histone ChIP-seq	18
tissue	body of pancreas	TF ChIP-seq	11
tissue	body of pancreas	ATAC-seq	4
tissue	body of pancreas	DNAme array	4
tissue	body of pancreas	DNase-seq	4
tissue	body of pancreas	RAMPAGE	2
tissue	body of pancreas	WGBS	2
tissue	body of pancreas	microRNA counts	2
tissue	body of pancreas	microRNA-seq	2
tissue	body of pancreas	small RNA-seq	2
tissue	body of pancreas	total RNA-seq	2
tissue	heart right ventricle	Histone ChIP-seq	21
tissue	heart right ventricle	ATAC-seq	10
tissue	heart right ventricle	DNase-seq	10
tissue	heart right ventricle	long read RNA-seq	3
tissue	heart right ventricle	total RNA-seq	3
tissue	heart right ventricle	TF ChIP-seq	2
tissue	heart right ventricle	WGBS	2
tissue	heart right ventricle	polyA plus RNA-seq	2
tissue	intestine	Histone ChIP-seq	32
tissue	intestine	ATAC-seq	4
tissue	intestine	WGBS	4
tissue	intestine	microRNA counts	4
tissue	intestine	polyA plus RNA-seq	4
tissue	intestine	microRNA-seq	3
tissue	intestine	DNase-seq	1
tissue	intestine	TF ChIP-seq	1
tissue	testis	Histone ChIP-seq	14
tissue	testis	polyA plus RNA-seq	7
tissue	testis	TF ChIP-seq	6
tissue	testis	DNase-seq	5
tissue	testis	total RNA-seq	3
tissue	testis	CAGE	2
tissue	testis	DNAme array	2
tissue	testis	PAS-seq	2
tissue	testis	RAMPAGE	2
tissue	testis	WGBS	2
tissue	testis	microRNA counts	2
tissue	testis	microRNA-seq	2
tissue	testis	small RNA-seq	2
tissue	testis	ATAC-seq	1
tissue	testis	RRBS	1
tissue	esophagus muscularis mucosa	Histone ChIP-seq	24
tissue	esophagus muscularis mucosa	TF ChIP-seq	10
tissue	esophagus muscularis mucosa	DNAme array	4
tissue	esophagus muscularis mucosa	RAMPAGE	4
tissue	esophagus muscularis mucosa	total RNA-seq	4
tissue	esophagus muscularis mucosa	small RNA-seq	3
tissue	esophagus muscularis mucosa	ATAC-seq	1
tissue	esophagus muscularis mucosa	DNase-seq	1
tissue	esophagus muscularis mucosa	WGBS	1
tissue	tibial nerve	Histone ChIP-seq	24
tissue	tibial nerve	TF ChIP-seq	10
tissue	tibial nerve	DNAme array	4
tissue	tibial nerve	total RNA-seq	4
tissue	tibial nerve	DNase-seq	3
tissue	tibial nerve	RAMPAGE	3
tissue	tibial nerve	WGBS	2
tissue	tibial nerve	ATAC-seq	1
tissue	tibial nerve	small RNA-seq	1
tissue	esophagus squamous epithelium	Histone ChIP-seq	21
tissue	esophagus squamous epithelium	TF ChIP-seq	10
tissue	esophagus squamous epithelium	DNAme array	4
tissue	esophagus squamous epithelium	RAMPAGE	4
tissue	esophagus squamous epithelium	small RNA-seq	4
tissue	esophagus squamous epithelium	total RNA-seq	4
